-0.0005,-0.0005,-0.0005,-0.0005
0.0093,0.0093,0.0093,0.0093
0.0207,0.0207,0.0207,0.0207
0.0297,0.0297,0.0297,0.0297
0.0393,0.0393,0.0393,0.0393
0.0505,0.0505,0.0505,0.0505
0.0593,0.0593,0.0593,0.0593
0.0703,0.0703,0.0703,0.0703
0.0798,0.0798,0.0798,0.0798
0.0893,0.0893,0.0893,0.0893
0.0999,0.0999,0.0999,0.0999
0.1098,0.1098,0.1098,0.1098
0.1203,0.1203,0.1203,0.1203
0.129,0.129,0.129,0.129
0.1404,0.1404,0.1404,0.1404
0.1494,0.1494,0.1494,0.1494
0.16,0.16,0.16,0.16
0.1703,0.1703,0.1703,0.1703
0.1797,0.1797,0.1797,0.1797
0.1901,0.1901,0.1901,0.1901
0.1997,0.1997,0.1997,0.1997
0.2092,0.2092,0.2092,0.2092
0.2199,0.2199,0.2199,0.2199
0.2301,0.2301,0.2301,0.2301
0.2404,0.2404,0.2404,0.2404
0.2492,0.2492,0.2492,0.2492
0.2601,0.2601,0.2601,0.2601
0.2706,0.2706,0.2706,0.2706
0.2797,0.2797,0.2797,0.2797
0.2895,0.2895,0.2895,0.2895
0.3,0.3,0.3,0.3
0.3095,0.3095,0.3095,0.3095
0.3196,0.3196,0.3196,0.3196
0.3306,0.3306,0.3306,0.3306
0.3393,0.3393,0.3393,0.3393
0.3492,0.3492,0.3492,0.3492
0.3604,0.3604,0.3604,0.3604
0.3701,0.3701,0.3701,0.3701
0.3795,0.3795,0.3795,0.3795
0.3905,0.3905,0.3905,0.3905
0.399,0.399,0.399,0.399
0.4099,0.4099,0.4099,0.4099
0.4199,0.4199,0.4199,0.4199
0.4294,0.4294,0.4294,0.4294
0.4392,0.4392,0.4392,0.4392
0.4506,0.4506,0.4506,0.4506
0.4595,0.4595,0.4595,0.4595
0.4699,0.4699,0.4699,0.4699
0.4797,0.4797,0.4797,0.4797
0.4904,0.4904,0.4904,0.4904
0.4992,0.4992,0.4992,0.4992
0.5097,0.5097,0.5097,0.5097
0.5209,0.5209,0.5209,0.5209
0.5305,0.5305,0.5305,0.5305
0.5392,0.5392,0.5392,0.5392
0.5499,0.5499,0.5499,0.5499
0.5593,0.5593,0.5593,0.5593
0.5703,0.5703,0.5703,0.5703
0.5809,0.5809,0.5809,0.5809
0.5907,0.5907,0.5907,0.5907
0.5991,0.5991,0.5991,0.5991
0.6094,0.6094,0.6094,0.6094
0.6203,0.6203,0.6203,0.6203
0.6291,0.6291,0.6291,0.6291
